"service","initDate","endDate","availabilityService","availability"
"micro-evaluaciones","2023-09-23T21:14:21.312Z","2023-09-23T21:16:01.312Z",1,1
"micro-evaluaciones","2023-09-23T21:14:35.212Z","2023-09-23T21:16:15.212Z",1,1
"micro-evaluaciones","2023-09-23T21:14:50.212Z","2023-09-23T21:16:30.212Z",1,1
"micro-evaluaciones","2023-09-23T21:15:05.812Z","2023-09-23T21:16:45.812Z",1,1
"micro-evaluaciones","2023-09-23T21:15:20.745Z","2023-09-23T21:17:00.745Z",1,1
"micro-evaluaciones","2023-09-23T21:15:35.412Z","2023-09-23T21:17:15.412Z",1,1
"micro-evaluaciones","2023-09-23T21:15:50.948Z","2023-09-23T21:17:30.948Z",1,1
"micro-evaluaciones","2023-09-23T21:16:06.317Z","2023-09-23T21:17:46.317Z",1,1
"micro-evaluaciones","2023-09-23T21:16:21.112Z","2023-09-23T21:18:01.112Z",1,1
"micro-evaluaciones","2023-09-23T21:16:35.312Z","2023-09-23T21:18:15.312Z",1,1
"micro-evaluaciones","2023-09-23T21:16:51.213Z","2023-09-23T21:18:31.213Z",1,1
"micro-evaluaciones","2023-09-23T21:17:05.415Z","2023-09-23T21:18:45.415Z",1,1
"micro-evaluaciones","2023-09-23T21:17:20.312Z","2023-09-23T21:19:00.312Z",1,1
"micro-evaluaciones","2023-09-23T21:17:35.912Z","2023-09-23T21:19:15.912Z",1,1
"micro-evaluaciones","2023-09-23T21:17:50.061Z","2023-09-23T21:19:30.061Z",1,1
"micro-evaluaciones","2023-09-23T21:18:05.812Z","2023-09-23T21:19:45.812Z",1,1
"micro-evaluaciones","2023-09-23T21:18:21.212Z","2023-09-23T21:20:01.212Z",1,1
"micro-evaluaciones","2023-09-23T21:18:36.512Z","2023-09-23T21:20:16.512Z",1,1
"micro-evaluaciones","2023-09-23T21:18:50.312Z","2023-09-23T21:20:30.312Z",1,1
"micro-evaluaciones","2023-09-23T21:19:06.112Z","2023-09-23T21:20:46.112Z",0.8888888888888888,0.8888888888888888
"micro-evaluaciones","2023-09-23T21:19:21.013Z","2023-09-23T21:21:01.013Z",0.7222222222222222,0.7222222222222222
"micro-evaluaciones","2023-09-23T21:19:35.299Z","2023-09-23T21:21:15.299Z",0.6111111111111112,0.5789473684210527
"micro-evaluaciones","2023-09-23T21:19:50.212Z","2023-09-23T21:21:30.212Z",0.4444444444444444,0.4444444444444444
"micro-evaluaciones","2023-09-23T21:20:08.412Z","2023-09-23T21:21:48.412Z",0.2777777777777778,0.2631578947368421
"micro-evaluaciones","2023-09-23T21:20:20.057Z","2023-09-23T21:22:00.057Z",0.1111111111111111,0.1111111111111111
"micro-evaluaciones","2023-09-23T21:20:35.913Z","2023-09-23T21:22:15.913Z",0,0
"micro-evaluaciones","2023-09-23T21:20:50.614Z","2023-09-23T21:22:30.614Z",0,0
"micro-evaluaciones","2023-09-23T21:21:05.670Z","2023-09-23T21:22:45.670Z",0,0
"micro-evaluaciones","2023-09-23T21:21:20.412Z","2023-09-23T21:23:00.412Z",0,0
"micro-evaluaciones","2023-09-23T21:21:35.321Z","2023-09-23T21:23:15.321Z",0,0
"micro-evaluaciones","2023-09-23T21:21:50.812Z","2023-09-23T21:23:30.812Z",0.1111111111111111,0.1111111111111111
"micro-evaluaciones","2023-09-23T21:22:05.057Z","2023-09-23T21:23:45.057Z",0.2631578947368421,0.2631578947368421
"micro-evaluaciones","2023-09-23T21:22:20.812Z","2023-09-23T21:24:00.812Z",0.3888888888888889,0.3888888888888889
"micro-evaluaciones","2023-09-23T21:22:35.813Z","2023-09-23T21:24:15.813Z",0.5555555555555556,0.5555555555555556
"micro-evaluaciones","2023-09-23T21:22:51.712Z","2023-09-23T21:24:31.712Z",0.5555555555555556,0.5555555555555556
"micro-evaluaciones","2023-09-23T21:23:05.813Z","2023-09-23T21:24:45.813Z",0.5555555555555556,0.5555555555555556
"micro-evaluaciones","2023-09-23T21:23:20.212Z","2023-09-23T21:25:00.212Z",0.5555555555555556,0.5555555555555556
